Locality,Offset,Register Name,Description
0,0003h-0000h,TPM_LOC_STATE_0,Used to determine current state of locality of a TPM. This register is aliased across all localities. Read-only.
0,0007h-0004h,Undefined,Reserved
0,000Bh-0008h,TPM_LOC_CTRL_0,Used to gain control of a TPM by this locality. This register SHALL NOT be aliased.
0,000Fh-000Ch,TPM_LOC_STS_0,Used to determine whether locality has been granted or seized. Read-only. This register SHALL NOT be aliased.
0,0013h-0010h,TPM_DATA_CSUM_ENABLE_0,Register to enable checksum computation on command and response
0,0017h-0014h,TPM_DATA_CSUM_0,Register to read the checksum computed
0,002Fh-0018h,Reserved,Reserved
0,0037h-0030h,TPM_CRB_INTF_ID_0,"Used to identify the Interface types supported by a TPM as well as the Vendor ID, Device ID and Revision ID "
0,003Fh-0038h,Reserved,Reserved
0,0043h-0040h,TPM_CRB_CTRL_REQ_0,Register used to initiate transactions for the CRB interface. This register MAY be aliased across localities.
0,0047h-0044h,TPM_CRB_CTRL_STS_0,Register used by a TPM to provide status of the CRB interface. This register MAY be aliased across localities
0,004Bh-0048h,TPM_CRB_CTRL_CANCEL_0,Register used by Software to cancel command processing. This register MAY be aliased across localities.
0,004Fh-004Ch,TPM_CRB_CTRL_START_0,Register used to indicate presence of command or response data in the CRB buffer. This register MAY be aliased across localities
0,0053h-0050h,TPM_CRB_INT_ENABLE_0,Register used to configure interrupts. This register MAY be aliased across localities
0,0057h-0054h,TPM_CRB_INT_STS_0,Register used to respond to interrupts. This register MAY be aliased across localities
0,005Bh-0058h,TPM_CRB_CTRL_CMD_SIZE_0,Size of the Command buffer. This register MAY be aliased across localities.
0,005Fh-005Ch,TPM_CRB_CTRL_CMD_LADDR_0,Lower 32bits of the Command buffer start address for Locality 0. This register MAY be aliased across localities.
0,0063h-0060h,TPM_CRB_CTRL_CMD_HADDR_0,Upper 32bits of the Command buffer start address for Locality 0. This register MAY be aliased across localities.
0,0067h-0064h,TPM_CRB_CTRL_RSP_SIZE_0,"Size of the Response buffer. Note: If command and response buffers are implemented as a single buffer, this field SHALL be identical to the value in the TPM_CRB_CTRL_CMD_SIZE_x buffer. This register MAY be aliased across localities. "
0,006Fh-0068h,TPM_CRB_CTRL_RSP_ADDR_0,"Address of the start of the Response buffer. Note: If command and response buffers are implemented as a single buffer, this field SHALL contain the same address contained in TPM_CRB_CTRL_CMD_HADDR_x and TPM_CRB_CMD_LADDR_x. This register MAY be aliased across localities. "
0,007Fh-0070h,Reserved,Reserved
0,0EFFh-0080h,TPM_CRB_DATA_BUFFER_0,"Command/Response Data may be defined as large as 3968. This is implementation-specific. However, the full address space has been reserved. This buffer MAY be aliased across localities. This field accepts data transfers from 1B up to the size indicated by TPM_CRB_INTF_ID_x.CapDataXferSizeSupport (see section 6.4.2.2 CRB Interface Identifier Register). "
0,0FFFh-0F00h,Reserved,Reserved for maximum size of Command/Response Buffer
1,1003h-1000h,TPM_LOC_STATE_1,Same as TPM_LOC_STATE_0
1,1007h-1004h,Reserved,Reserved
1,100Bh-1008h,TPM_LOC_CTRL_1,Used to gain control of a TPM by this locality.
1,100Fh-100Ch,TPM_LOC_STS_1,Used to determine whether locality has been granted or seized. Read-only. This register SHALL NOT be aliased.
1,0013h-0010h,TPM_DATA_CSUM_ENABLE_1,Same as TPM_DATA_CSUM_ENABLE_0
1,0017h-0014h,TPM_DATA_CSUM_1,Same as TPM_DATA_CSUM_0
1,102Fh-1018h,Reserved,Reserved
1,1037h-1030h,TPM_CRB_INTF_ID_1,Same as TPM_CRB_INTF_ID_0
1,103Fh-1038h,Reserved,Reserved
1,1043h-1040h,TPM_CRB_CTRL_REQ_1,Same as TPM_CRB_CTRL_REQ_0
1,1047h-1044h,TPM_CRB_CTRL_STS_1,Same as TPM CRB_CTRL_STS_0
1,104Bh-1048h,TPM_CRB_CTRL_CANCEL_1,Same as TPM_CRB_CTRL_CANCEL_0
